Year counter	DATE	MORTGAGE30US
14	2/15/1991	9.25
14	2/22/1991	9.29
15	3/1/1991	9.4
15	3/8/1991	9.49
15	3/15/1991	9.5
15	3/22/1991	9.59
15	3/29/1991	9.52
16	4/5/1991	9.49
16	4/12/1991	9.48
16	4/19/1991	9.47
16	4/26/1991	9.53
17	5/3/1991	9.47
17	5/10/1991	9.47
17	5/17/1991	9.5
17	5/24/1991	9.47
17	5/31/1991	9.45
18	6/7/1991	9.48
18	6/14/1991	9.66
18	6/21/1991	9.65
18	6/28/1991	9.67
19	7/5/1991	9.62
19	7/12/1991	9.64
19	7/19/1991	9.54
19	7/26/1991	9.5
20	8/2/1991	9.44
20	8/9/1991	9.27
20	8/16/1991	9.19
20	8/23/1991	9.17
20	8/30/1991	9.15
21	9/6/1991	9.14
21	9/13/1991	9.02
21	9/20/1991	8.95
21	9/27/1991	8.92
22	10/4/1991	8.87
22	10/11/1991	8.82
22	10/18/1991	8.82
22	10/25/1991	8.91
23	11/1/1991	8.78
23	11/8/1991	8.76
23	11/15/1991	8.69
23	11/22/1991	8.63
23	11/29/1991	8.7
24	12/6/1991	8.62
24	12/13/1991	8.53
24	12/20/1991	8.49
24	12/27/1991	8.35
25	1/3/1992	8.24
25	1/10/1992	8.23
25	1/17/1992	8.45
25	1/24/1992	8.56
25	1/31/1992	8.68
26	2/7/1992	8.67
26	2/14/1992	8.73
26	2/21/1992	8.82
26	2/28/1992	8.83
27	3/6/1992	8.85
27	3/13/1992	8.88
27	3/20/1992	9.03
27	3/27/1992	8.98
28	4/3/1992	8.96
28	4/10/1992	8.84
28	4/17/1992	8.76
28	4/24/1992	8.85
29	5/1/1992	8.84
29	5/8/1992	8.75
29	5/15/1992	8.64
29	5/22/1992	8.53
29	5/29/1992	8.6
30	6/5/1992	8.59
30	6/12/1992	8.54
30	6/19/1992	8.48
30	6/26/1992	8.43
31	7/3/1992	8.29
31	7/10/1992	8.13
31	7/17/1992	8.09
31	7/24/1992	8.08
31	7/31/1992	8.05
32	8/7/1992	8.06
32	8/14/1992	7.96
32	8/21/1992	7.87
32	8/28/1992	8.01
33	9/4/1992	7.94
33	9/11/1992	7.84
33	9/18/1992	7.89
33	9/24/1992	8.02
34	10/2/1992	7.93
34	10/9/1992	8.01
34	10/16/1992	8.06
34	10/23/1992	8.23
34	10/30/1992	8.21
35	11/6/1992	8.29
35	11/13/1992	8.32
35	11/20/1992	8.32
35	11/27/1992	8.29
36	12/4/1992	8.34
36	12/11/1992	8.23
36	12/18/1992	8.19
36	12/25/1992	8.13
36	12/31/1992	8.14
37	1/8/1993	8.07
37	1/15/1993	8.04
37	1/22/1993	8
37	1/29/1993	7.86
38	2/5/1993	7.8
38	2/12/1993	7.75
38	2/19/1993	7.65
38	2/26/1993	7.53
39	3/5/1993	7.44
39	3/12/1993	7.47
39	3/19/1993	7.57
39	3/26/1993	7.5
40	4/2/1993	7.53
40	4/9/1993	7.57
40	4/16/1993	7.45
40	4/23/1993	7.38
40	4/30/1993	7.43
41	5/7/1993	7.42
41	5/14/1993	7.42
41	5/21/1993	7.52
41	5/28/1993	7.5
42	6/4/1993	7.47
42	6/11/1993	7.48
42	6/18/1993	7.38
42	6/25/1993	7.34
43	7/2/1993	7.23
43	7/9/1993	7.19
43	7/16/1993	7.16
43	7/23/1993	7.2
43	7/30/1993	7.25
44	8/6/1993	7.21
44	8/13/1993	7.17
44	8/20/1993	7.1
44	8/27/1993	6.97
45	9/3/1993	6.93
45	9/10/1993	6.82
45	9/17/1993	6.96
45	9/24/1993	6.95
46	10/1/1993	6.89
46	10/8/1993	6.87
46	10/15/1993	6.81
46	10/22/1993	6.74
46	10/29/1993	6.86
47	11/5/1993	7.11
47	11/12/1993	7.12
47	11/19/1993	7.08
47	11/26/1993	7.31
48	12/4/1993	7.25
48	12/10/1993	7.14
48	12/17/1993	7.17
48	12/24/1993	7.17
48	12/31/1993	7.13
49	1/7/1994	7.23
49	1/14/1994	6.99
49	1/21/1994	7.05
49	1/28/1994	6.97
50	2/4/1994	6.97
50	2/11/1994	7.21
50	2/18/1994	7.11
50	2/25/1994	7.32
51	3/4/1994	7.51
51	3/11/1994	7.63
51	3/18/1994	7.76
51	3/25/1994	7.8
52	4/1/1994	8.04
52	4/8/1994	8.47
52	4/15/1994	8.26
52	4/22/1994	8.49
52	4/29/1994	8.32
53	5/6/1994	8.53
53	5/13/1994	8.77
53	5/20/1994	8.56
53	5/27/1994	8.53
54	6/3/1994	8.55
54	6/10/1994	8.25
54	6/17/1994	8.33
54	6/24/1994	8.46
55	7/1/1994	8.57
55	7/8/1994	8.68
55	7/15/1994	8.72
55	7/22/1994	8.53
55	7/29/1994	8.57
56	8/5/1994	8.38
56	8/12/1994	8.57
56	8/19/1994	8.54
56	8/26/1994	8.56
57	9/2/1994	8.48
57	9/9/1994	8.51
57	9/16/1994	8.66
57	9/23/1994	8.73
57	9/30/1994	8.82
58	10/7/1994	8.89
58	10/14/1994	8.93
58	10/21/1994	8.85
58	10/28/1994	9.03
59	11/4/1994	9.05
59	11/11/1994	9.19
59	11/18/1994	9.19
59	11/25/1994	9.25
60	12/2/1994	9.23
60	12/9/1994	9.15
60	12/16/1994	9.25
60	12/23/1994	9.18
60	12/30/1994	9.18
61	1/6/1995	9.22
61	1/13/1995	9.19
61	1/20/1995	9.05
61	1/27/1995	9.13
62	2/3/1995	8.94
62	2/10/1995	8.8
62	2/17/1995	8.84
62	2/24/1995	8.73
63	3/3/1995	8.53
63	3/10/1995	8.62
63	3/17/1995	8.38
63	3/24/1995	8.4
63	3/31/1995	8.38
64	4/7/1995	8.41
64	4/14/1995	8.37
64	4/21/1995	8.24
64	4/28/1995	8.26
65	5/5/1995	8.27
65	5/12/1995	7.87
65	5/19/1995	7.83
65	5/26/1995	7.85
66	6/2/1995	7.71
66	6/9/1995	7.51
66	6/16/1995	7.55
66	6/23/1995	7.53
66	6/30/1995	7.53
67	7/7/1995	7.63
67	7/14/1995	7.41
67	7/21/1995	7.6
67	7/28/1995	7.79
68	8/4/1995	7.82
68	8/11/1995	7.8
68	8/18/1995	7.94
68	8/25/1995	7.88
69	9/1/1995	7.76
69	9/8/1995	7.63
69	9/15/1995	7.6
69	9/22/1995	7.57
69	9/29/1995	7.62
70	10/6/1995	7.57
70	10/13/1995	7.5
70	10/20/1995	7.38
70	10/27/1995	7.45
71	11/3/1995	7.44
71	11/9/1995	7.37
71	11/17/1995	7.35
71	11/24/1995	7.35
72	12/1/1995	7.33
72	12/8/1995	7.18
72	12/15/1995	7.15
72	12/22/1995	7.23
72	12/29/1995	7.11
73	1/5/1996	7.02
73	1/12/1996	7.08
73	1/19/1996	7.02
73	1/26/1996	7
74	2/2/1996	7.02
74	2/9/1996	7.02
74	2/16/1996	6.94
74	2/23/1996	7.32
75	3/1/1996	7.41
75	3/8/1996	7.38
75	3/15/1996	7.83
75	3/22/1996	7.81
75	3/29/1996	7.69
76	4/5/1996	7.78
76	4/12/1996	8.05
76	4/19/1996	7.95
76	4/26/1996	7.92
77	5/3/1996	7.99
77	5/10/1996	8.24
77	5/17/1996	8.08
77	5/24/1996	8.01
77	5/31/1996	8.03
78	6/7/1996	8.3
78	6/14/1996	8.39
78	6/21/1996	8.3
78	6/28/1996	8.29
79	7/5/1996	8.14
79	7/12/1996	8.42
79	7/19/1996	8.23
79	7/26/1996	8.19
80	8/2/1996	8.23
80	8/9/1996	7.88
80	8/16/1996	7.88
80	8/23/1996	7.93
80	8/30/1996	8.09
81	9/6/1996	8.34
81	9/13/1996	8.28
81	9/20/1996	8.14
81	9/27/1996	8.16
82	10/4/1996	8.06
82	10/11/1996	7.86
82	10/18/1996	7.88
82	10/25/1996	7.86
83	11/1/1996	7.78
83	11/8/1996	7.67
83	11/15/1996	7.59
83	11/22/1996	7.53
83	11/29/1996	7.52
84	12/6/1996	7.44
84	12/13/1996	7.57
84	12/20/1996	7.74
84	12/27/1996	7.64
85	1/3/1997	7.67
85	1/10/1997	7.85
85	1/17/1997	7.87
85	1/24/1997	7.85
85	1/31/1997	7.88
86	2/7/1997	7.74
86	2/14/1997	7.65
86	2/21/1997	7.56
86	2/28/1997	7.65
87	3/7/1997	7.84
87	3/14/1997	7.84
87	3/21/1997	7.94
87	3/28/1997	7.97
88	4/4/1997	8.18
88	4/11/1997	8.15
88	4/18/1997	8.16
88	4/25/1997	8.08
89	5/2/1997	8.01
89	5/9/1997	7.94
89	5/16/1997	7.91
89	5/23/1997	7.92
89	5/30/1997	7.94
90	6/6/1997	7.85
90	6/13/1997	7.72
90	6/20/1997	7.61
90	6/27/1997	7.58
91	7/4/1997	7.62
91	7/11/1997	7.47
91	7/18/1997	7.47
91	7/25/1997	7.43
92	8/1/1997	7.36
92	8/8/1997	7.46
92	8/15/1997	7.54
92	8/22/1997	7.46
92	8/29/1997	7.58
93	9/5/1997	7.53
93	9/12/1997	7.53
93	9/19/1997	7.38
93	9/26/1997	7.28
94	10/3/1997	7.31
94	10/10/1997	7.26
94	10/17/1997	7.34
94	10/24/1997	7.35
94	10/31/1997	7.21
95	11/7/1997	7.24
95	11/14/1997	7.23
95	11/21/1997	7.18
95	11/28/1997	7.17
96	12/5/1997	7.15
96	12/12/1997	7.17
96	12/19/1997	7.07
96	12/26/1997	6.99
97	1/2/1998	7.03
97	1/9/1998	6.94
97	1/16/1998	6.89
97	1/23/1998	6.99
97	1/30/1998	7.12
98	2/6/1998	7.03
98	2/13/1998	7.06
98	2/20/1998	6.99
98	2/28/1998	7.09
99	3/6/1998	7.19
99	3/13/1998	7.16
99	3/20/1998	7.08
99	3/27/1998	7.08
100	4/3/1998	7.15
100	4/10/1998	7.09
100	4/17/1998	7.17
100	4/24/1998	7.15
101	5/1/1998	7.22
101	5/8/1998	7.14
101	5/15/1998	7.19
101	5/22/1998	7.1
101	5/29/1998	7.07
102	6/5/1998	7.05
102	6/12/1998	7.04
102	6/19/1998	6.94
102	6/26/1998	6.96
103	7/3/1998	6.98
103	7/10/1998	6.91
103	7/17/1998	6.94
103	7/24/1998	6.96
103	7/31/1998	6.97
104	8/7/1998	6.94
104	8/14/1998	6.91
104	8/21/1998	6.92
104	8/28/1998	6.92
105	9/4/1998	6.82
105	9/11/1998	6.77
105	9/18/1998	6.66
105	9/25/1998	6.64
106	10/2/1998	6.6
106	10/9/1998	6.49
106	10/16/1998	6.9
106	10/23/1998	6.73
106	10/30/1998	6.83
107	11/6/1998	6.89
107	11/13/1998	6.93
107	11/20/1998	6.86
107	11/27/1998	6.78
108	12/4/1998	6.71
108	12/11/1998	6.69
108	12/18/1998	6.69
108	12/25/1998	6.77
108	12/31/1998	6.83
109	1/8/1999	6.79
109	1/15/1999	6.83
109	1/22/1999	6.78
109	1/29/1999	6.74
110	2/5/1999	6.75
110	2/12/1999	6.77
110	2/19/1999	6.82
110	2/26/1999	6.89
111	3/5/1999	7.06
111	3/12/1999	7.11
111	3/19/1999	7.01
111	3/26/1999	6.98
112	4/2/1999	6.98
112	4/9/1999	6.92
112	4/16/1999	6.87
112	4/23/1999	6.88
112	4/30/1999	6.93
113	5/7/1999	7.02
113	5/14/1999	7.1
113	5/21/1999	7.23
113	5/28/1999	7.23
114	6/4/1999	7.41
114	6/11/1999	7.51
114	6/18/1999	7.65
114	6/25/1999	7.63
115	7/2/1999	7.71
115	7/9/1999	7.65
115	7/16/1999	7.58
115	7/23/1999	7.52
115	7/30/1999	7.7
116	8/6/1999	7.89
116	8/13/1999	8.15
116	8/20/1999	7.93
116	8/27/1999	7.8
117	9/3/1999	7.83
117	9/10/1999	7.88
117	9/17/1999	7.82
117	9/24/1999	7.76
118	10/1/1999	7.7
118	10/8/1999	7.82
118	10/15/1999	7.85
118	10/22/1999	7.93
118	10/29/1999	7.96
119	11/5/1999	7.84
119	11/12/1999	7.67
119	11/19/1999	7.69
119	11/26/1999	7.75
120	12/3/1999	7.84
120	12/10/1999	7.84
120	12/17/1999	7.86
120	12/24/1999	7.96
120	12/31/1999	8.06
121	1/7/2000	8.15
121	1/14/2000	8.18
121	1/21/2000	8.26
121	1/28/2000	8.25
122	2/4/2000	8.25
122	2/11/2000	8.36
122	2/18/2000	8.38
122	2/25/2000	8.31
123	3/3/2000	8.27
123	3/10/2000	8.23
123	3/17/2000	8.24
123	3/24/2000	8.23
123	3/31/2000	8.23
124	4/7/2000	8.2
124	4/14/2000	8.12
124	4/21/2000	8.16
124	4/28/2000	8.13
125	5/5/2000	8.28
125	5/12/2000	8.52
125	5/19/2000	8.64
125	5/26/2000	8.62
126	6/2/2000	8.54
126	6/9/2000	8.32
126	6/16/2000	8.22
126	6/23/2000	8.14
126	6/30/2000	8.22
127	7/7/2000	8.16
127	7/14/2000	8.09
127	7/21/2000	8.21
127	7/28/2000	8.13
128	8/4/2000	8.12
128	8/11/2000	8.04
128	8/18/2000	7.96
128	8/25/2000	7.99
129	9/1/2000	7.96
129	9/8/2000	7.94
129	9/15/2000	7.88
129	9/22/2000	7.9
129	9/29/2000	7.88
130	10/6/2000	7.83
130	10/13/2000	7.84
130	10/20/2000	7.83
130	10/27/2000	7.68
131	11/3/2000	7.73
131	11/10/2000	7.79
131	11/17/2000	7.73
131	11/24/2000	7.73
132	12/1/2000	7.65
132	12/8/2000	7.54
132	12/15/2000	7.42
132	12/22/2000	7.17
132	12/29/2000	7.13
133	1/5/2001	7.07
133	1/12/2001	6.89
133	1/19/2001	7.02
133	1/26/2001	7.15
134	2/2/2001	7.09
134	2/9/2001	6.98
134	2/16/2001	7.01
134	2/23/2001	7.12
135	3/2/2001	7.03
135	3/9/2001	6.97
135	3/16/2001	6.96
135	3/23/2001	6.89
135	3/30/2001	6.91
136	4/6/2001	7.01
136	4/13/2001	7.04
136	4/20/2001	7.14
136	4/27/2001	7.12
137	5/4/2001	7.14
137	5/11/2001	7.1
137	5/18/2001	7.14
137	5/25/2001	7.2
138	6/1/2001	7.24
138	6/8/2001	7.2
138	6/15/2001	7.14
138	6/22/2001	7.11
138	6/29/2001	7.11
139	7/6/2001	7.19
